docid	prececl
23549581	0.666666666667	0.333333333333
11401641	0	0
22744141	0.0	0
20739054	1.0	0.0727272727273
16427787	0.0	0
24350813	0.8125	0.157894736842
21211686	0.797435897436	0.187744360902
24960665	0.5	0.25
7844976	0.0	0
2188766	0.5	0.333333333333
24726342	0	0
23103798	0.0	0
25931290	0.851851851852	0.6
18503531	0.714285714286	0.2
8989009	0.389732142857	1.0
15133359	0.0	0
23838728	0	0
11454878	0.96	0.326923076923
18077611	1.0	0.347619047619
25950425	0.547619047619	0.573863636364
21491990	0.595238095238	0.291666666667
14739125	0.566666666667	0.25
3067745	0.416666666667	0.5
21982657	0.543859649123	0.65
14763035	0.35	0.4
8726604	0.857142857143	1.0
20226474	0.75	0.5
11737955	0.0	0
10934569	0.0	0
21924760	0.866666666667	0.223076923077
10475150	1.0	0.333333333333
20147856	0.916666666667	0.31746031746
10589810	0	0
2088233	0.0	0
10940525	0.0	0
18337284	0.666666666667	0.5
19727232	0.441919191919	0.458333333333
20804366	1.0	0.150735294118
23114870	1.0	0.0884615384615
19802506	0.320098039216	0.3125
25886492	0	0
19376304	0.727272727273	1.0
21914768	0.0	0
15358868	0.0	0
21393467	0.0	0
20509069	0.75	0.25
11229858	0.0	0
16505427	1.0	0.4
4919024	0.0	0
22865017	1.0	0.25
10763172	0.833333333333	0.333333333333
18783504	0.5	0.625
25898782	0.379807692308	0.32
11495215	1.0	0.545454545455
18773733	0.0	0
23985254	0.207692307692	0.138888888889
7808649	0.514285714286	0.6
24989854	0.0	0
22154769	0.782407407407	0.228054298643
7853069	0.5	0.526315789474
1968178	0.363636363636	0.142857142857
12709693	1.0	0.785714285714
23849147	0.0	0
23021296	1.0	0.261904761905
22881991	0	0
25479285	0	0
9394106	0.583333333333	0.5
23356250	1.0	0.125
1669598	0.477272727273	0.433333333333
10578479	1.0	0.166666666667
15014018	0	0
16295154	0.0	0
3074300	0.279487179487	1.0
9816035	0.321428571429	0.666666666667
18845996	0	0
19159999	0.4	0.5
8519720	0.81746031746	0.517006802721
1286547	0.666666666667	0.325
26210844	0.5	0.166666666667
8913901	0.388888888889	0.125
6421395	0.444444444444	0.229166666667
9695300	0.75	0.6
16167234	0.790476190476	0.3
1963383	1.0	0.517857142857
2908133	0	0
12595499	0	0
22956006	0.780952380952	0.454545454545
9481998	1.0	0.10119047619
21718094	0.430281071585	0.7
11891832	0.958333333333	0.611111111111
12960652	1.0	0.266666666667
2066441	1.0	0.25
17897478	0.796052631579	0.483333333333
22341427	0.333333333333	0.333333333333
18544974	0.477272727273	0.5
384815	0.866666666667	0.75
20943715	0.0	0
24080592	0.5	0.25
14679127	0.2	0.5
25784723	0	0
25068497	0.0	0
17321989	0.0	0
21975269	1.0	0.5
25885649	0.375	0.153846153846
24803369	0.0	0
15193668	0.0	0
20560622	0.5	0.2
8916620	0.0	0
19108790	1.0	0.25
19708562	0.0	0
22271197	0.230769230769	0.25
22538329	0.5	0.0681818181818
2678230	0	0
3534803	0.0	0
21106663	0.0	0
25369243	1.0	0.0673076923077
17293018	0	0
6938020	0.625	1.0
12576806	0.333333333333	0.0833333333333
11381289	1.0	0.264705882353
12477021	1.0	0.333333333333
24515505	0.0	0
9730996	0.5	0.103896103896
21866656	0.572916666667	0.475
19301724	0.3125	0.666666666667
7827398	0.0	0
8779382	0.0	0
1131298	1.0	0.31884057971
11750293	0.0	0
2223363	1.0	0.2
9573502	0.555151515152	0.428571428571
1780092	0.291666666667	0.388888888889
15848261	0.666666666667	0.4
23417625	0.25	0.25
17616069	0.125	0.333333333333
18958161	0.0	0
10764172	0.771428571429	0.5
12139812	0.0	0
6989377	0	0
3081600	1.0	0.375
8771302	0.541666666667	0.333333333333
2803397	0.0833333333333	0.0277777777778
26278470	0.890625	0.541818181818
19096921	0.0	0
7598243	0.833333333333	0.592592592593
21896676	0	0
22897461	0.25	0.142857142857
10752495	0.875	0.261904761905
23392542	0.961538461538	0.3
9229602	0	0
15854186	0	0
22435114	0.0	0
6920252	0.0	0
7017018	0	0
3919804	0.0	0
16055807	0	0
10390665	1.0	0.114285714286
10070173	0.791666666667	0.666666666667
12586799	0.614761904762	0.666666666667
18975051	0.0	0
22416755	0.0	0
21029638	0.7	0.19375
6951573	0.0	0
1459268	1.0	0.78125
11642083	0.857142857143	0.285714285714
24451919	0.333333333333	0.111111111111
7831628	0.0	0
24317958	0.0	0
8911222	0.5	0.4
8911223	1.0	0.111111111111
20618920	0.0	0
18189160	0.533333333333	0.204081632653
11317090	0.583333333333	0.419913419913
7707420	0.0	0
21669557	0.95	0.221428571429
22420121	0.544117647059	0.555555555556
6418441	1.0	0.2
18229990	1.0	0.333333333333
22646975	0.989795918367	0.454175824176
23357440	0.0	0
7814711	0.0	0
24660757	0.0	0
361799	0.0	0
21170734	0.666666666667	0.663461538462
24075141	0	0
10912743	1.0	0.357142857143
20189026	0.190476190476	0.142857142857
15858959	0.962962962963	0.353703703704
11829043	0.590909090909	0.496124031008
11099086	0.75	0.202380952381
2224060	0.166666666667	0.166666666667
mean	0.435196672848	0.241108080424
mean_2	0.681332496017	0.377472486566
percent	63.8743455497
