docid	prececl
23549581	0.5	0.309523809524
11401641	0	0
22744141	0.0	0
20739054	1.0	0.0727272727273
16427787	0	0
24350813	0.95	0.263157894737
21211686	0.855769230769	0.187744360902
24960665	0.0	0
7844976	0.0	0
2188766	1.0	0.333333333333
24726342	0	0
23103798	0.0	0
25931290	1.0	0.128571428571
18503531	0.0	0
8989009	0.8	0.333333333333
15133359	0.0	0
23838728	0	0
11454878	0.96	0.326923076923
18077611	1.0	0.285714285714
25950425	0.541666666667	0.238636363636
21491990	0.0	0
14739125	1.0	0.0833333333333
3067745	0.833333333333	0.5
21982657	0.815789473684	0.65
14763035	0.5	0.393548387097
8726604	1.0	0.818181818182
20226474	1.0	0.5
11737955	0.0	0
10934569	0.0	0
21924760	0.8	0.0384615384615
10475150	1.0	0.333333333333
20147856	0.875	0.222222222222
10589810	0.0	0
2088233	0.0	0
10940525	0.0	0
18337284	1.0	0.25
19727232	0.611111111111	0.291666666667
20804366	1.0	0.194852941176
23114870	1.0	0.0384615384615
19802506	0.369047619048	0.241071428571
25886492	0.0	0
19376304	0.923076923077	0.5
21914768	0.0	0
15358868	0.0	0
21393467	0.0	0
20509069	0.75	0.25
11229858	0.0	0
16505427	1.0	0.35
4919024	0.0	0
22865017	1.0	0.25
10763172	0.666666666667	0.166666666667
18783504	0.0	0
25898782	0.375	0.12
11495215	1.0	0.545454545455
18773733	0.0	0
23985254	0.166666666667	0.0277777777778
7808649	0.514285714286	0.6
24989854	0.0	0
22154769	1.0	0.131016042781
7853069	0.5	0.315789473684
1968178	0.363636363636	0.142857142857
12709693	1.0	0.642857142857
23849147	0.0	0
23021296	0.0	0
22881991	0	0
25479285	0.0	0
9394106	0.6875	1.0
23356250	0.0	0
1669598	0.9375	0.361904761905
10578479	1.0	0.166666666667
15014018	0	0
16295154	0.0	0
3074300	0.37264957265	1.0
9816035	0.5	0.333333333333
18845996	0	0
19159999	0.4	0.5
8519720	0.813725490196	0.489795918367
1286547	0.5	0.2
26210844	1.0	0.166666666667
8913901	0.5	0.125
6421395	0.472222222222	0.395833333333
9695300	1.0	0.2
16167234	0.790476190476	0.3
1963383	1.0	0.25
2908133	0	0
12595499	0.0	0
22956006	0.803571428571	0.233766233766
9481998	1.0	0.10119047619
21718094	1.0	0.25
11891832	1.0	0.611111111111
12960652	0	0
2066441	1.0	0.25
17897478	0.875	0.475980392157
22341427	0	0
18544974	1.0	0.5
384815	0.866666666667	0.75
20943715	0.0	0
24080592	0.5	0.25
14679127	0.25	0.5
25784723	0	0
25068497	0.0	0
17321989	0.0	0
21975269	0.0	0
25885649	0.5	0.134615384615
24803369	0.0	0
15193668	0.0	0
20560622	1.0	0.2
8916620	0.0	0
19108790	1.0	0.25
19708562	0.0	0
22271197	0.230769230769	0.25
22538329	1.0	0.0568181818182
2678230	0	0
3534803	0.0	0
21106663	0	0
25369243	1.0	0.100274725275
17293018	0.0	0
6938020	1.0	1.0
12576806	0.5	0.0833333333333
11381289	1.0	0.264705882353
12477021	1.0	0.333333333333
24515505	0.0	0
9730996	0.5	0.142857142857
21866656	0.597222222222	0.475
19301724	0	0
7827398	0.0	0
8779382	0.0	0
1131298	1.0	0.31884057971
11750293	0.272727272727	0.5
2223363	1.0	0.2
9573502	0.622222222222	0.285714285714
1780092	0	0
15848261	1.0	0.2
23417625	0.2	0.25
17616069	0.375	0.333333333333
18958161	0.0	0
10764172	0.771428571429	0.5
12139812	0.0	0
6989377	0	0
3081600	0.974358974359	0.553571428571
8771302	0.333333333333	0.166666666667
2803397	0.0833333333333	0.0277777777778
26278470	0.766666666667	0.345454545455
19096921	0.0	0
7598243	1.0	0.259259259259
21896676	0.0	0
22897461	0.916666666667	0.285714285714
10752495	0.708333333333	0.261904761905
23392542	0.884615384615	0.1
9229602	0	0
15854186	0.0	0
22435114	0.0	0
6920252	1.0	0.1
7017018	0.5	0.111111111111
3919804	0.769230769231	0.333333333333
16055807	0.0	0
10390665	0.0	0
10070173	0.791666666667	0.666666666667
12586799	0.774603174603	0.5
18975051	0.0	0
22416755	0.0	0
21029638	0.916666666667	0.33538961039
6951573	0.0	0
1459268	0.0	0
11642083	1.0	0.257142857143
24451919	0.0	0
7831628	0.0	0
24317958	0.0	0
8911222	0.666666666667	0.4
8911223	1.0	0.253968253968
20618920	0.0	0
18189160	0.703703703704	0.367346938776
11317090	0.5	0.272727272727
7707420	0.0	0
21669557	0.9	0.15
22420121	0.65	0.555555555556
6418441	1.0	0.4
18229990	1.0	0.166666666667
22646975	0.885714285714	0.321318681319
23357440	0.0	0
7814711	0.0	0
24660757	0.0	0
361799	0.0	0
21170734	0.666666666667	0.663461538462
24075141	0.0	0
10912743	1.0	0.357142857143
20189026	0.5	0.142857142857
15858959	0.969696969697	0.398148148148
11829043	0.711538461538	0.363148479428
11099086	0.166666666667	0.0833333333333
2224060	0.0	0
mean	0.446334341619	0.186214447158
mean_2	0.768016749993	0.320423057723
percent	58.1151832461
