docid	prececl
23549581	0.676470588235	0.333333333333
11401641	0.433333333333	1.0
22744141	1.0	1.0
20739054	0.545454545455	0.333333333333
16427787	0.0	0
24350813	1.0	0.691176470588
21211686	0.9	0.5
24960665	0.0	0
7844976	0.0	0
2188766	0.5	1.0
24726342	1.0	0.333333333333
23103798	1.0	0.333333333333
25931290	0.983333333333	1.0
18503531	0.833333333333	1.0
8989009	0.409523809524	1.0
15133359	0.846153846154	1.0
23838728	0.611111111111	0.666666666667
11454878	1.0	0.0869565217391
18077611	0.5	0.5
25950425	0.5	1.0
21491990	1.0	0.5
14739125	1.0	0.5
3067745	0.0	0
21982657	0.62962962963	0.5
14763035	1.0	1.0
8726604	1.0	0.272727272727
20226474	0.0	0
11737955	0.834415584416	0.666666666667
10934569	0.642857142857	0.464285714286
21924760	0.0	0
10475150	0.666666666667	1.0
20147856	1.0	0.75
10589810	0.0	0
2088233	1.0	0.333333333333
10940525	0.183333333333	0.666666666667
18337284	1.0	0.666666666667
19727232	0.666666666667	0.2
20804366	1.0	0.333333333333
23114870	1.0	0.5
19802506	0.9375	1.0
25886492	0.434782608696	0.944444444444
19376304	0.0	0
21914768	0.0	0
15358868	0.428571428571	1.0
21393467	0.0	0
20509069	0.0	0
11229858	1.0	0.5
16505427	0.8	0.633333333333
4919024	0.0	0
22865017	0.970588235294	0.508771929825
10763172	0.0	0
18783504	0.0	0
25898782	0.0	0
11495215	0.888888888889	0.1
18773733	0.0	0
23985254	0.8125	0.79375
7808649	0.0	0
24989854	0.427917568543	0.775
22154769	0.666666666667	0.833333333333
7853069	1.0	0.5
1968178	0.0	0
12709693	0.0	0
23849147	0.0	0
23021296	0.0	0
22881991	0.954545454545	0.6
25479285	0.0	0
9394106	0.857142857143	0.666666666667
23356250	0.0	0
1669598	0.888888888889	1.0
10578479	0.954545454545	1.0
15014018	0.0	0
16295154	1.0	0.466666666667
3074300	0	0
9816035	0	0
18845996	1.0	0.5
19159999	0.0	0
8519720	1.0	0.230769230769
1286547	0.9	1.0
26210844	0.394736842105	0.25
8913901	1.0	0.5
6421395	0.515151515152	0.666666666667
9695300	0.0	0
16167234	1.0	0.25
1963383	1.0	0.333333333333
2908133	0.217391304348	0.5
12595499	0.307692307692	0.333333333333
22956006	1.0	0.921052631579
9481998	0.0	0
21718094	0.933333333333	0.333333333333
11891832	0.0	0
12960652	0.47619047619	1.0
2066441	0.875	0.85
17897478	1.0	1.0
22341427	0.241379310345	0.4
18544974	0.666666666667	1.0
384815	1.0	0.296296296296
20943715	1.0	0.666666666667
24080592	1.0	0.5
14679127	0.5	0.333333333333
25784723	1.0	0.5
25068497	0.666666666667	1.0
17321989	0.5	0.275
21975269	0	0
25885649	0.469696969697	0.951612903226
24803369	0.0	0
15193668	0.0	0
20560622	0.0	0
8916620	0.0	0
19108790	0.4	0.388235294118
19708562	0.928571428571	1.0
22271197	0.0	0
22538329	0.592592592593	0.234482758621
2678230	1.0	1.0
3534803	0.875	0.5
21106663	0.0	0
25369243	0.916666666667	0.666666666667
17293018	0.0	0
6938020	0.0	0
12576806	0.75	0.5
11381289	0.0	0
12477021	0.0	0
24515505	0.0	0
9730996	0.875	0.5
21866656	0.0	0
19301724	0.925925925926	1.0
7827398	0.460869565217	0.453389830508
8779382	0.0	0
1131298	1.0	0.5
11750293	1.0	0.333333333333
2223363	1.0	1.0
9573502	1.0	0.5
1780092	1.0	1.0
15848261	0.9	0.666666666667
23417625	0.714285714286	1.0
17616069	0.0	0
18958161	0	0
10764172	1.0	0.636363636364
12139812	0.0	0
6989377	0.0	0
3081600	1.0	0.5
8771302	0.724137931034	1.0
2803397	0.3	0.5
26278470	0.0	0
19096921	1.0	1.0
7598243	0.944444444444	1.0
21896676	1.0	0.806451612903
22897461	1.0	0.142857142857
10752495	1.0	0.666666666667
23392542	0.6875	0.5
9229602	0.833333333333	0.5
15854186	0.0	0
22435114	0.666666666667	1.0
6920252	0.0	0
7017018	0.0	0
3919804	0.0	0
16055807	0.0	0
10390665	0.5	0.333333333333
10070173	1.0	0.666666666667
12586799	0.96	0.333333333333
18975051	0.0	0
22416755	0.0	0
21029638	0.0	0
6951573	1.0	0.916666666667
1459268	1.0	1.0
11642083	0.636363636364	0.333333333333
24451919	0.0	0
7831628	0.5	0.375
24317958	0.0	0
8911222	1.0	1.0
8911223	0.666666666667	1.0
20618920	0.875	0.4375
18189160	1.0	0.5
11317090	0.76	0.5
7707420	0.5	0.181818181818
21669557	1.0	0.833333333333
22420121	0.990196078431	0.75
6418441	1.0	0.5
18229990	0.338235294118	0.666666666667
22646975	0.416666666667	0.333333333333
23357440	0.666666666667	0.934782608696
7814711	0.0	0
24660757	0.0	0
361799	0.0	0
21170734	0.0	0
24075141	0.766666666667	0.666666666667
10912743	0.725	0.333333333333
20189026	0.666666666667	1.0
15858959	1.0	1.0
11829043	1.0	0.5
11099086	0.273504273504	0.5
2224060	1.0	0.142857142857
mean	0.532907608652	0.425544057369
mean_2	0.795198072285	0.634991523106
percent	67.0157068063
